Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
,,,,,,,,OGD,token,1,0,
